Equipment,Wo Start Date,Wo Type Code,Code
E-8105A,1398/5/21,PM,B
E-8105B,1398/5/21,PM,B
E-8105C,1398/5/21,PM,B
E-8105D,1398/5/21,PM,B
E-8105E,1398/5/21,PM,B
E-8105F,1398/5/21,PM,B
E-8106A,1398/5/21,PM,B
E-8106B,1398/5/21,PM,B
E-8106C,1398/5/21,PM,B
E-8106D,1398/5/21,PM,B
E-8106E,1398/5/21,PM,B
E-8106F,1398/5/21,PM,B
E-8107A,1398/5/21,PM,B
E-8107B,1398/5/21,PM,B
E-8105F,1398/5/26,CM,C+E
E-8105F,1398/7/7,CM,C
E-8106C,1398/9/16,CM,C
E-8107A,1398/9/20,CM,C
E-8105A,1398/9/23,PM,B
E-8105B,1398/9/23,PM,B
E-8105C,1398/9/23,PM,B
E-8105D,1398/9/23,PM,B
E-8105E,1398/9/23,PM,B
E-8105F,1398/9/23,PM,B
E-8106A,1398/9/23,PM,B
E-8106B,1398/9/23,PM,B
E-8106C,1398/9/23,PM,B
E-8106D,1398/9/23,PM,B
E-8106E,1398/9/23,PM,B
E-8106F,1398/9/23,PM,B
E-8107A,1398/9/23,PM,B
E-8107B,1398/10/23,PM,B
E-8105E,1398/10/23,CM,C
E-8106A,1398/11/2,CM,H
E-8105D,1398/11/2,CM,C
E-8106F,1398/11/25,CM,C
E-8106D,1398/11/10,CM,G
