Code,Tag No,Equipment Class,Trade,Work Type,Request Date,WO Start Date,WO End Date,Total Hours Work
156126/6/2,Comp_C,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14020612,14020612,14020612,4
156126/6/1,Comp_C,ELECTRIC MOTOR,FIX MECHANICAL,CORRECTIVE,14020612,14020611,14020611,5
156126/6,Comp_C,ELECTRIC MOTOR,MACHINERY,CORRECTIVE,14020611,14020614,14020614,8
156126/5,Comp_C,ELECTRIC MOTOR,FIX MECHANICAL,CORRECTIVE,14020606,14020609,14020609,5
156126/4/3,Comp_C,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14020611,14020611,14020612,4
156126/4/2,Comp_C,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14020606,14020606,14020606,2
156126/4/1,Comp_C,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14020602,14020602,14020602,1
156126/4,Comp_C,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14020601,14020602,14020612,18
156126/3,Comp_C,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14020531,14020606,14020606,21
156126/2,Comp_C,ELECTRIC MOTOR,FIX MECHANICAL,CORRECTIVE,14020529,14020529,14020529,5
156126/1,Comp_C,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14020529,14020530,14020530,6
156126,Comp_C,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14020528,14020528,14020614,11
155733,Comp_A,VALVE,FIX MECHANICAL,CORRECTIVE,14020519,14020519,14020519,8
155183,Comp_C,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020506,14020507,14020507,4
154936/7,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14020508,14020523,14020523,10
154936/6,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14020503,14020503,14020508,10
154936/5/1,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14020503,14020504,14020504,2
154936/5,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020501,14020503,14020503,5
154936/4,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020501,14020502,14020502,2
154936/3,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14020501,14020503,14020503,5
154936/2,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14020501,14020503,14020503,2
154936/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14020501,14020502,14020502,18
154936,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14020501,14020503,14020504,42
154867,Comp_B,COMPRESSOR,Condition Monitoring,SERVICE,14020429,14020429,14020429,4
154366/1,Comp_E,COMPRESSOR,ELECTRICAL,CORRECTIVE,14020426,14020425,14020426,27
154366,Comp_E,COMPRESSOR,ELECTRICAL,CORRECTIVE,14020425,14020425,14020426,8
153936,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020422,14020422,14020422,5
153863,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020420,14020420,14020420,5
153430/1/1,Comp_C,COMPRESSOR,CRAFT,CORRECTIVE,14020424,14020425,14020425,18
153429,Comp_C,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14020413,14020413,14020413,3
153396,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020411,14020414,14020414,5
153358/9,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020413,14020414,14020414,15
153358/8,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14020413,14020415,14020415,16
153358/7,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14020412,14020413,14020413,8
153358/6,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14020412,14020414,14020414,6
153358/5,Comp_B,COMPRESSOR,Condition Monitoring,CORRECTIVE,14020412,14020412,14020412,3
153358/4,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14020411,14020414,14020414,6
153358/3,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020410,14020411,14020411,8
153358/2,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14020410,14020411,14020411,5
153358/10,Comp_B,COMPRESSOR,Condition Monitoring,CORRECTIVE,14020414,14020424,14020424,2
153358/1,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14020410,14020411,14020411,10
153358,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14020410,14020411,14020415,104
153212,Comp_E,COMPRESSOR,MECHANICAL SHIFT,SHIFT SHAB,14020405,14020405,14020405,3
153153/1/1,Comp_E,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14020414,14020424,14020424,2
153153/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14020405,14020411,14020414,72
153153,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14020405,14020405,14020421,10
152820,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020327,14020327,14020327,2
152547,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14020320,14020320,14020321,4
152501,Comp_B,COMPRESSOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14020320,14020323,14020323,0
152498/9,Comp_B,COMPRESSOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14020804,14020804,14020804,6
152498/8,Comp_B,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14020804,14020806,14020806,8
