Code,Tag No,Equipment Class,Trade,Work Type,Request Date,WO Start Date,WO End Date,Total Hours Work
144335/2,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14010923,14010924,14010924,6
144335/1,Comp_B,COMPRESSOR,Condition Monitoring,CORRECTIVE,14010923,14010923,14010923,2
144335,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14010922,14010923,14010923,12
144273,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010921,14010921,14010921,4
144194/1,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010921,14010921,14010921,3
144194,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14010920,14010924,14010926,18
144189,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14010920,14010920,14010920,6
143964,Comp_C,COMPRESSOR,MACHINERY,CORRECTIVE,14010915,14010914,14010914,6
143945,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14010914,14010914,14010914,6
143887,Comp_B,COMPRESSOR,ELECTRICAL,CORRECTIVE,14010913,14010913,14010913,21
143840,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010912,14010917,14010917,4
143831,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010912,14010912,14010912,5
143749,Comp_A,VALVE,FIX MECHANICAL,CORRECTIVE,14010910,14010910,14010910,4
143744,Comp_A,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010910,14010912,14010912,2
143719,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010909,14010909,14010909,14
143580,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010906,14010906,14010907,54
143534,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010906,14010905,14010906,21
143351,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010901,14010901,14010901,1
143223/1,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010902,14010902,14010902,4
143223,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010828,14010825,14010825,3
143221,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010828,14010828,14010828,2
143220,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010828,14010818,14010818,3
143168,Comp_B,PUMP,MECHANICAL SHIFT,CORRECTIVE,14010827,14010827,14010827,3
143165/7,Comp_B,COMPRESSOR,ELECTRICAL,CORRECTIVE,14010905,14010907,14010908,24
143165/5/1,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14010915,14010915,14010915,1
143165/5,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14010905,14010905,14010916,14
143165/3/3,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14010905,14010906,14010906,7
143165/3/2,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14010903,14010906,14010906,1
143165/3/1,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010903,14010903,14010903,3
143165/3,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010902,14010906,14010906,8
143165/2,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14010902,14010902,14010902,10
143165/1,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14010828,14010828,14010828,10
143165,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14010826,14010826,14010906,108
143121/2,Comp_D,COMPRESSOR,Condition Monitoring,CORRECTIVE,14010903,14010903,14010903,4
143121,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14010825,14010903,14010903,2
143096/3,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010914,14020108,14020108,4
143096/2,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010906,14010828,14010828,24
143096/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010828,14010825,14010828,15
142631,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010817,14010817,14010817,10
142475,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010814,14010813,14010813,7
142474,Comp_D,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010814,14010813,14010813,6
142473,Comp_C,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010814,14010813,14010813,7
142472,Comp_B,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010814,14010813,14010813,3
142471,Comp_A,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010814,14010813,14010813,6
142304,Comp_E,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010810,14010809,14010809,4
141357,Comp_A,COMPRESSOR,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010720,14010720,14010720,4
141253,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14010718,14010718,14010718,8
140985/1/1,Comp_D,COMPRESSOR,CRAFT,CORRECTIVE,14010714,14010714,14010714,4
140985,Comp_D,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010712,14010714,14010715,6
140616,Comp_A,HEAT EXCHANGER,FIX MECHANICAL,CORRECTIVE,14010711,14010711,14010711,10
140575,Comp_A,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010711,14010717,14010717,2
140574,Comp_B,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010711,14010717,14010717,3
140573,Comp_D,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010711,14010717,14010717,3
140572,Comp_C,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010711,14010717,14010717,2
140224,Comp_C,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010706,14010706,14010706,3
140131,Comp_D,COMPRESSOR,CRAFT,SERVICE,14010704,14010704,14010704,3
139336/1,Comp_D,COMPRESSOR,WORKSHOP,CORRECTIVE,14010628,14010628,14010631,5
139336,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010627,14010628,14010628,5
139246,Comp_E,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010626,14010630,14010630,2
139185,Comp_A,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010623,14010623,14010623,6
138889/9,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010621,14010621,14010621,5
138889/8,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010620,14010620,14010620,3
138889/7,Comp_A,COMPRESSOR,WORKSHOP,CORRECTIVE,14010617,14010619,14010620,9
138889/6,Comp_A,COMPRESSOR,WORKSHOP,CORRECTIVE,14010617,14010617,14010619,6
138889/5/1,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010621,14010622,14010622,6
138889/5,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010616,14010619,14010619,8
138889/4,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010616,14010617,14010617,6
138889/3,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010616,14010617,14010617,6
138889/21,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010626,14010626,14010626,4
138889/2,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010614,14010614,14010614,8
138889/14,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010626,14010626,14010626,5
138889/10,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010621,14010622,14010622,5
138889/1/1,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14010624,14010624,14010624,6
138889/1,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010614,14010624,14010624,21
138889,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14010614,14010614,14010628,35
138881,Comp_B,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010614,14010614,14010614,4
138827,Comp_B,COMPRESSOR,INSTRUMENT,SERVICE,14010613,14010615,14010615,2
138772,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010612,14010609,14010612,6
138109,Comp_B,HEAT EXCHANGER,FIX MECHANICAL,CORRECTIVE,14010605,14010602,14010602,5
138108,Comp_C,SAFETY VALVE,FIX MECHANICAL,CORRECTIVE,14010605,14010610,14010610,5
137936,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010601,14010601,14010601,1
137810/2,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14010530,14010601,14010601,9
137810/1,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14010530,14010531,14010531,5
137810,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14010530,14010531,14010531,16
137801,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010530,14010530,14010530,4
136011,Comp_D,COMPRESSOR,ELECTRICAL,CORRECTIVE,14010502,14010502,14010502,6
135980/3,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010502,14010502,14010502,4
135980/2,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14010502,14010502,14010502,12
135980/1,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14010502,14010502,14010506,5
135980,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14010501,14010503,14010503,32
135899,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14010523,14010508,14010508,8
135807,Comp_D,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010429,14010429,14010429,9
135713/3,Comp_D,COMPRESSOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010427,14010429,14010429,6
135713/2,Comp_D,COMPRESSOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010427,14010427,14010427,6
135713/1/1,Comp_D,COMPRESSOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010427,14010428,14010428,6
135713,Comp_D,COMPRESSOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010426,14010419,14010430,105
135450/1,Comp_C,SAFETY VALVE,WORKSHOP,SERVICE,14010422,14010422,14010422,2
135450,Comp_C,SAFETY VALVE,WORKSHOP,SERVICE,14010421,14010425,14010426,4
135449,Comp_D,COMPRESSOR,WORKSHOP,SERVICE,14010421,14010424,14010424,1
135349,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010418,14010420,14010420,4
135081,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010414,14010217,14010217,8
135078,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010414,14010309,14010309,8
134012/2,Comp_E,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14010406,14010407,14010407,1
134012/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010405,14010406,14010406,9
134012,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010405,14010404,14010404,9
134007/2,Comp_E,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14010406,14010407,14010407,1
134007/1,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010405,14010406,14010406,12
134007,Comp_E,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010405,14010404,14010407,12
133886,Comp_D,INDICATOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010402,14010404,14010404,4
133885,Comp_D,INSTRUMENT SWITCH,INSTRUMENT,PREVENTIVE MAINTENANCE,14010402,14010404,14010404,4
133884,Comp_D,INDICATOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010402,14010404,14010404,1
133883,Comp_D,INDICATOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010402,14010403,14010403,3
133882,Comp_D,INDICATOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010402,14010404,14010404,1
133881,Comp_D,INDICATOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010402,14010404,14010404,1
133880,Comp_D,INDICATOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010402,14010404,14010404,1
133843/1/2,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010402,14010402,14010402,12
133843/1/1,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14010402,14010402,14010402,4
133843/1,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010402,14010402,14010402,2
133843,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14010402,14010402,14010402,15
133813/1,Comp_D,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14010404,14010329,14010401,13
133813,Comp_D,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010401,14010405,14010405,5
133812/1,Comp_D,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14010404,14010329,14010401,4
133812,Comp_D,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010401,14010405,14010405,5
133811/1,Comp_D,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14010404,14010328,14010401,8
133811,Comp_D,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010401,14010405,14010405,5
133810/1,Comp_D,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14010404,14010329,14010401,9
133810,Comp_D,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010401,14010405,14010405,4
133757,Comp_A,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010331,14010331,14010331,4
133450/1,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010325,14010325,14010325,1
133450,Comp_B,COMPRESSOR,INSTRUMENT,CORRECTIVE,14010325,14010325,14010325,1
133418,Comp_B,COMPRESSOR,MACHINERY,CORRECTIVE,14010325,14010325,14010325,26
133333,Comp_D,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010324,14010325,14010325,6
133332,Comp_D,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010324,14010329,14010330,13
133331,Comp_D,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010324,14010325,14010401,8
133330,Comp_D,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010324,14010328,14010328,5
133329,Comp_D,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010324,14010325,14010401,6
133328,Comp_D,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010324,14010325,14010401,6
133327,Comp_D,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010324,14010329,14010330,16
133017,Comp_D,ELECTRIC MOTOR,Condition Monitoring,CORRECTIVE,14010321,14010321,14010321,2
132661,Comp_C,BLOWER & FAN,ELECTRICAL,CORRECTIVE,14010311,14010311,14010311,6
132659,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14010311,14010312,14010312,12
132567/7,Comp_D,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010425,14010425,14010425,5
132567/6,Comp_D,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010420,14010420,14010420,5
132567/5,Comp_D,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010413,14010413,14010413,2
132567/4,Comp_D,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010331,14010331,14010404,7
132567/2,Comp_D,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010316,14010405,14010405,23
132567/1,Comp_D,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010315,14010321,14010321,4
132567,Comp_D,COMPRESSOR,MACHINERY,PREVENTIVE MAINTENANCE,14010310,14010508,14010508,23
132566/8,Comp_D,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010426,14010428,14010428,4
132566/7,Comp_D,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010413,14010413,14010414,2
132566/6,Comp_D,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010404,14010405,14010405,4
132566/1,Comp_D,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010331,14010331,14010404,10
132566,Comp_D,COMPRESSOR,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010310,14010423,14010423,124
132565,Comp_D,COMPRESSOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010310,14010310,14010310,8
132564/9,Comp_D,ELECTRIC MOTOR,CRAFT,PREVENTIVE MAINTENANCE,14010404,14010405,14010405,8
132564/8,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010404,14010404,14010404,2
132564/7,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010402,14010404,14010404,2
132564/6,Comp_D,ELECTRIC MOTOR,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010402,14010404,14010404,4
132564/5/1,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010405,14010405,14010406,8
132564/5,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010401,14010402,14010402,16
132564/4,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010401,14010406,14010406,9
132564/3/1,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010405,14010405,14010406,8
132564/3,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010401,14010402,14010402,12
132564/2,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010401,14010404,14010404,12
132564/14,Comp_D,ELECTRIC MOTOR,CRAFT,PREVENTIVE MAINTENANCE,14010413,14010414,14010414,6
132564/13,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010411,14010412,14010413,24
132564/10/1,Comp_D,ELECTRIC MOTOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010407,14010407,14010407,1
132564/10,Comp_D,ELECTRIC MOTOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010406,14010407,14010413,13
132564/1,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010331,14010402,14010402,16
132564,Comp_D,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010310,14010321,14010415,58
132488/1,Comp_D,COMPRESSOR,ELECTRICAL,CORRECTIVE,14010309,14010308,14010308,6
132488,Comp_D,COMPRESSOR,ELECTRICAL,CORRECTIVE,14010308,14010308,14010308,12
132357,Comp_B,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010305,14010307,14010307,6
132237/1,Comp_A,COMPRESSOR,WORKSHOP,CORRECTIVE,14010303,14010310,14010310,16
132237,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010303,14010311,14010311,10
132087,Comp_D,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010301,14010307,14010307,6
131896,Comp_A,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010227,14010307,14010307,0
130953,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010219,14010219,14010219,4
130892,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010217,14010217,14010217,4
130882,Comp_E,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010216,14010222,14010222,2
130881,Comp_C,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010216,14010307,14010307,6
130817,Comp_D,COMPRESSOR,MACHINERY,CORRECTIVE,14010214,14010214,14010214,6
130409/1,Comp_C,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14010218,14010123,14010127,6
130409,Comp_C,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010130,14010208,14010208,3
130408/11,Comp_C,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14010218,14010123,14010124,8
130408,Comp_C,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010130,14010207,14010207,3
130407/1,Comp_C,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14010218,14010123,14010128,13
130407,Comp_C,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010130,14010207,14010207,3
130406/1,Comp_C,SAFETY VALVE,WORKSHOP,PREVENTIVE MAINTENANCE,14010218,14010123,14010127,6
130406,Comp_C,SAFETY VALVE,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010130,14010208,14010208,3
130259,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010125,14010125,14010125,5
130212,Comp_A,PUMP,FIX MECHANICAL,CORRECTIVE,14010124,14010125,14010125,4
130181,Comp_A,COMPRESSOR,Condition Monitoring,CORRECTIVE,14010124,14010124,14010124,1
129788,Comp_C,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010116,14010120,14010120,6
129787,Comp_C,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010116,14010120,14010120,6
129786,Comp_C,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010116,14010116,14010116,6
129785,Comp_C,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010116,14010117,14010117,6
129784,Comp_C,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010116,14010121,14010121,14
129783,Comp_C,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010116,14010116,14010116,6
129782,Comp_C,RELAY,ELECTRICAL,PREVENTIVE MAINTENANCE,14010116,14010117,14010117,6
129715/3,Comp_D,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14010116,14010117,14010117,4
129715/2,Comp_D,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010116,14010116,14010116,12
129715/1,Comp_D,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14010116,14010117,14010117,4
129715,Comp_D,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14010115,14010115,14010117,12
129619/3,Comp_C,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010122,14010123,14010124,5
129619/2,Comp_C,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010115,14010115,14010115,5
129619/1,Comp_C,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14010114,14010114,14010114,4
129619,Comp_C,COMPRESSOR,MACHINERY,PREVENTIVE MAINTENANCE,14010110,14010115,14010303,18
129618/9,Comp_C,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010206,14010207,14010207,4
129618/8,Comp_C,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010206,14010211,14010211,6
129618/7,Comp_C,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010129,14010130,14010201,11
129618/6,Comp_C,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010129,14010130,14010130,4
129618/5,Comp_C,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010123,14010123,14010123,1
129618/4,Comp_C,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010123,14010123,14010123,1
129618/3,Comp_C,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010123,14010123,14010123,1
129618/2/2,Comp_C,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010122,14010122,14010122,3
129618/2,Comp_C,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010120,14010120,14010120,5
129618/10,Comp_C,COMPRESSOR,CRAFT,PREVENTIVE MAINTENANCE,14010210,14010210,14010210,4
129618/1,Comp_C,COMPRESSOR,WORKSHOP,PREVENTIVE MAINTENANCE,14010110,14010114,14010114,9
129618,Comp_C,COMPRESSOR,FIX MECHANICAL,PREVENTIVE MAINTENANCE,14010110,14010121,14010121,51
129617,Comp_C,ELECTRIC MOTOR,ELECTRICAL,PREVENTIVE MAINTENANCE,14010110,14010115,14010204,47
129616,Comp_C,COMPRESSOR,INSTRUMENT,PREVENTIVE MAINTENANCE,14010110,14010110,14010110,6
129610,Comp_A,HEAT EXCHANGER,INSTRUMENT,CORRECTIVE,14010109,14010110,14010110,0
129603/1,Comp_E,VALVE,WORKSHOP,CORRECTIVE,14010116,14010116,14010116,22
129603,Comp_E,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010109,14010116,14010116,8
129418,Comp_C,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14010102,14010102,14010102,9
129363,Comp_A,PUMP,Condition Monitoring,CORRECTIVE,14001226,14010107,14010107,2
129343,Comp_A,PUMP,FIX MECHANICAL,CORRECTIVE,14001225,14001226,14001226,5
129124,Comp_B,ELECTRIC MOTOR,ELECTRICAL,CORRECTIVE,14001222,14001222,14001222,4
128998/4,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14001228,14010106,14010106,11
128998/3,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14001228,14001228,14001228,4
128998/2,Comp_B,COMPRESSOR,WORKSHOP,CORRECTIVE,14001223,14001223,14001223,2
128998/1,Comp_B,COMPRESSOR,CRAFT,CORRECTIVE,14001221,14001222,14001222,8
128998,Comp_B,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14001218,14001218,14001225,100
128966,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14001217,14001126,14001126,12
128918/1,Comp_C,COMPRESSOR,CRAFT,CORRECTIVE,14001216,14001216,14001216,15
128918,Comp_C,COMPRESSOR,MACHINERY,CORRECTIVE,14001216,14001217,14001217,8
128215,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14001130,14001201,14001201,10
128214,Comp_A,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14001130,14001130,14001130,5
128203,Comp_A,SAFETY VALVE,FIX MECHANICAL,CORRECTIVE,14001128,14001128,14001128,5
127889,Comp_A,COMPRESSOR,INSTRUMENT,CORRECTIVE,14001120,14001120,14001120,1
127888/4,Comp_A,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14001122,14001121,14001123,20
127888/3/1,Comp_A,ELECTRIC MOTOR,INSTRUMENT,CORRECTIVE,14001124,14001201,14001205,16
127888/3,Comp_A,ELECTRIC MOTOR,INSTRUMENT,CORRECTIVE,14001120,14001120,14001120,1
127888/2/1,Comp_A,ELECTRIC MOTOR,WORKSHOP,CORRECTIVE,14001201,14001201,14001203,20
127888/2,Comp_A,ELECTRIC MOTOR,FIX MECHANICAL,CORRECTIVE,14001120,14001121,14001125,25
127888/1,Comp_A,ELECTRIC MOTOR,CRAFT,CORRECTIVE,14001120,14001123,14001123,16
127888,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14001120,14001120,14001128,61
127743,Comp_A,COMPRESSOR,Condition Monitoring,CORRECTIVE,14001117,14001117,14001117,4
127613/1,Comp_A,COMPRESSOR,CRAFT,CORRECTIVE,14001116,14001116,14001116,12
127613,Comp_A,COMPRESSOR,MACHINERY,CORRECTIVE,14001115,14001113,14001113,12
127517,Comp_A,COMPRESSOR,CRAFT,SERVICE,14001113,14001114,14001114,5
127175/1,Comp_C,COMPRESSOR,WORKSHOP,CORRECTIVE,14001106,14001106,14001106,3
127175,Comp_C,COMPRESSOR,FIX MECHANICAL,CORRECTIVE,14001106,14001106,14001106,5
126991,Comp_B,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14001102,14001104,14001104,6
126990,Comp_D,COMPRESSOR,Condition Monitoring,PREVENTIVE MAINTENANCE,14001102,14001102,14001102,3
126901/3,Comp_C,COMPRESSOR,WORKSHOP,CORRECTIVE,14001102,14001102,14001102,3
